C61	19.80	165.30	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C62	22.30	165.30	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C63	35.30	146.70	270.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C64	33.10	145.20	270.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C65	27.80	157.30	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C66	29.50	148.50	180.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C67	37.40	157.60	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C68	34.60	87.70	270.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C69	32.30	87.70	270.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C7	86.90	43.17	90.00	10000pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C70	29.60	87.70	270.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C71	38.00	84.10	270.00	DNP	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C72	29.60	84.10	90.00	2700pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C73	28.60	79.80	270.00	15pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C74	26.30	71.10	270.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C75	32.40	65.20	270.00	10000pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C76	29.80	65.20	270.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C77	30.50	157.20	90.00	1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C78	27.30	142.60	180.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C79	34.50	157.30	90.00	1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C8	96.97	66.40	0.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C80	46.00	158.00	90.00	1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C81	27.30	144.60	180.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C82	51.00	152.90	270.00	1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C83	44.40	177.50	270.00	DNP	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C84	41.60	187.70	180.00	DNP	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C85	53.00	177.80	90.00	DNP	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C86	56.70	179.50	180.00	DNP	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C87	56.30	74.20	270.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C88	58.80	74.20	270.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C89	53.80	74.20	270.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C9	80.22	39.50	0.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C90	51.40	74.20	270.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C91	63.60	70.40	270.00	DNP	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C92	56.30	70.40	90.00	2700pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C93	55.00	67.90	270.00	33pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C94	53.00	60.40	270.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C95	58.80	52.70	270.00	10000pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C96	56.00	52.60	270.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
D1	101.29	29.75	90.00	30V 200MA	EDGE-LIBRARY_SOT23
D3	34.74	27.45	180.00	EDGE-LIBRARY_MMBZ5242BLT3G	EDGE-LIBRARY_SOT23
FB1	92.10	28.82	90.00	WLBD2012HCU121TH791-WLBD2012HCU121TH	EDGE-LIBRARY_0805
FB2	52.80	189.10	270.00	WLBD2012HCU121TH791-WLBD2012HCU121TH	EDGE-LIBRARY_0805
FB3	21.10	88.20	180.00	WLBD2012HCU121TH791-WLBD2012HCU121TH	EDGE-LIBRARY_0805
